ParticipantID,Gender,Accuracy,Phase,Entity,EntityNum,Percentage_B1,Percentage_B2,Percentage_Avg
P207,F,0,2,Method_Body,3,0.9,0.73,0.815
P207,F,0,2,Method_Signature,4,0,0.01,0.005
P207,F,0,3,Member_Variable,0,0,0.01,0.005
P207,F,0,3,Comment,1,0.07,0.21,0.14
P207,F,0,3,Class_Signature,2,0,0,0
P207,F,0,3,Method_Body,3,0.92,0.75,0.835
P207,F,0,3,Method_Signature,4,0.01,0.03,0.02
P208,F,0,1,Member_Variable,0,0.05,0.55,0.3
P208,M,0,1,Comment,1,0.14,0.29,0.215
P208,M,0,1,Class_Signature,2,0,0,0
P208,M,0,1,Method_Body,3,0.67,0.16,0.415
P208,M,0,1,Method_Signature,4,0.14,0,0.07
P208,M,0,2,Member_Variable,0,0.9,0.01,0.005
P208,M,0,2,Comment,1,0.11,0.15,0.185
P208,M,0,2,Class_Signature,2,0,0,0
P208,M,0,2,Method_Body,3,0.78,0.83,0.805
P208,M,0,2,Method_Signature,4,0,0.01,0.005
P208,M,0,3,Member_Variable,0,0,0,0
P208,M,0,3,Comment,1,0.4,0.17,0.285
P208,M,0,3,Class_Signature,2,0,0,0
P208,M,0,3,Method_Body,3,0.6,0.83,0.715
P208,M,0,3,Method_Signature,4,0,0,0
P209,M,1,1,Member_Variable,0,NA,0.02,0.01
P209,M,1,1,Comment,1,NA,0.16,0.08
P209,M,1,1,Class_Signature,2,NA,0,0
P209,M,1,1,Method_Body,3,NA,0.81,0.405
P209,M,1,1,Method_Signature,4,NA,0.01,0.005
P209,M,1,2,Member_Variable,0,0.01,0.01,0.01
P209,M,1,2,Comment,1,0.1,0.34,0.22
P209,M,1,2,Class_Signature,2,0,0,0
P209,M,1,2,Method_Body,3,0.88,0.64,0.76
P209,M,1,2,Method_Signature,4,0.01,0.01,0.01
P209,M,1,3,Member_Variable,0,0,NA,0
P209,M,1,3,Comment,1,0.15,NA,0.075
P209,M,1,3,Class_Signature,2,0,NA,0
P209,M,1,3,Method_Body,3,0.85,NA,0.425
P209,M,1,3,Method_Signature,4,0,NA,0
P301,F,1,1,Member_Variable,0,0.05,0.06,0.055
P301,F,1,1,Comment,1,0.37,0.17,0.27
P301,F,1,1,Class_Signature,2,0,0,0
P301,F,1,1,Method_Body,3,0.57,0.73,0.65
P301,F,1,1,Method_Signature,4,0.01,0.04,0.025
P301,F,1,2,Member_Variable,0,0.13,0,0.015
P301,F,1,2,Comment,1,0.07,0.21,0.14
P301,F,1,2,Class_Signature,2,0,0,0
P301,F,1,2,Method_Body,3,0.8,0.77,0.835
P301,F,1,2,Method_Signature,4,0,0.02,0.01
P301,F,1,3,Member_Variable,0,0.03,0,0.015
P301,F,1,3,Comment,1,0.07,0.08,0.075
P301,F,1,3,Class_Signature,2,0,0,0
P301,F,1,3,Method_Body,3,0.9,0.92,0.91
P301,F,1,3,Method_Signature,4,0,0,0
P302,M,0,1,Member_Variable,0,0.15,0.07,0.11
P302,M,0,1,Comment,1,0.33,0.12,0.225
P302,M,0,1,Class_Signature,2,0,0,0
P302,M,0,1,Method_Body,3,0.52,0.8,0.66
P302,M,0,1,Method_Signature,4,0,0.01,0.005
P302,M,0,2,Member_Variable,0,0.12,0,0.035
P302,M,0,2,Comment,1,0.15,0.14,0.165
P302,M,0,2,Class_Signature,2,0,0,0
P302,M,0,2,Method_Body,3,0.72,0.86,0.79
P302,M,0,2,Method_Signature,4,0.02,0,0.01
P302,M,0,3,Member_Variable,0,0.02,0,0.01
P302,M,0,3,Comment,1,0.17,0.11,0.14
P302,M,0,3,Class_Signature,2,0,0,0
P302,M,0,3,Method_Body,3,0.75,0.82,0.785
P302,M,0,3,Method_Signature,4,0.06,0.07,0.065
P303,M,1,1,Member_Variable,0,NA,0.07,0.035
P303,M,1,1,Comment,1,NA,0.15,0.075
P303,M,1,1,Class_Signature,2,NA,0,0
P303,M,1,1,Method_Body,3,NA,0.72,0.36
P303,M,1,1,Method_Signature,4,NA,0.06,0.03
P303,M,1,2,Member_Variable,0,0.07,0,0.02
P303,M,1,2,Comment,1,0.09,0.23,0.16
P303,M,1,2,Class_Signature,2,0,0,0
P303,M,1,2,Method_Body,3,0.8,0.76,0.815
P303,M,1,2,Method_Signature,4,0,0.01,0.005
P303,M,1,3,Member_Variable,0,0,0.04,0.02
P303,M,1,3,Comment,1,0.17,0.09,0.13
P303,M,1,3,Class_Signature,2,0.03,0,0.015
P303,M,1,3,Method_Body,3,0.8,0.86,0.83
P303,M,1,3,Method_Signature,4,0,0.01,0.005
P304,F,0,1,Member_Variable,0,0,0.12,0.06
P304,F,0,1,Comment,1,0.11,0.21,0.16
P304,F,0,1,Class_Signature,2,0,0,0
P304,F,0,1,Method_Body,3,0.89,0.64,0.765
P304,F,0,1,Method_Signature,4,0,0.03,0.015
P304,F,0,2,Member_Variable,0,0.1,0,0.02
P304,F,0,2,Comment,1,0.09,0.15,0.15
P304,F,0,2,Class_Signature,2,0,0,0
P304,F,0,2,Method_Body,3,0.8,0.83,0.815
P304,F,0,2,Method_Signature,4,0.01,0.02,0.015
P304,F,0,3,Member_Variable,0,0.06,0,0.03
P304,F,0,3,Comment,1,0.28,0.18,0.23
P304,F,0,3,Class_Signature,2,0,0,0
P304,F,0,3,Method_Body,3,0.65,0.79,0.72
P304,F,0,3,Method_Signature,4,0.01,0.03,0.02
P305,M,0,1,Member_Variable,0,0.05,0.12,0.085
P305,M,0,1,Comment,1,0.39,0.13,0.26
P305,M,0,1,Class_Signature,2,0,0,0
P305,M,0,1,Method_Body,3,0.52,0.72,0.62
P305,M,0,1,Method_Signature,4,0.04,0.03,0.035
P305,M,0,2,Member_Variable,0,0,NA,0
P305,M,0,2,Comment,1,0.17,NA,0.085
P305,M,0,2,Class_Signature,2,0,NA,0
P305,M,0,2,Method_Body,3,0.8,NA,0.4
P305,M,0,2,Method_Signature,4,0.03,NA,0.015
P305,M,0,3,Member_Variable,0,0.02,NA,0.01
P305,M,0,3,Comment,1,0.19,NA,0.095
P305,M,0,3,Class_Signature,2,0,NA,0
P305,M,0,3,Method_Body,3,0.77,NA,0.385
P305,M,0,3,Method_Signature,4,0.02,NA,0.01
P307,F,1,1,Member_Variable,0,0.14,0.14,0.14
P307,F,1,1,Comment,1,0.5,0.4,0.45
P307,F,1,1,Class_Signature,2,0,0,0
P307,F,1,1,Method_Body,3,0.36,0.46,0.41
P307,F,1,1,Method_Signature,4,0,0,0
P307,F,1,2,Member_Variable,0,0.08,0,0.005
